Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Peptic ulcer diseae,vomiting,indigestion,abdominal pain,passage of gases,internal itching,loss of appetite,,,,
Peptic ulcer diseae,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,vomiting,,,,
Peptic ulcer diseae,vomiting,loss of appetite,abdominal pain,passage of gases,internal itching,indigestion,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal pain,passage of gases,internal itching,loss of appetite,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,passage of gases,internal itching,abdominal pain,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,internal itching,passage of gases,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,
AIDS,patches in throat,high fever,extra marital contacts,muscle wasting,,,,,,
AIDS,muscle wasting,high fever,extra marital contacts,patches in throat,,,,,,
AIDS,muscle wasting,patches in throat,extra marital contacts,high fever,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,
AIDS,patches in throat,high fever,extra marital contacts,muscle wasting,,,,,,
AIDS,muscle wasting,high fever,extra marital contacts,patches in throat,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria
Diabetes ,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,fatigue
Diabetes ,fatigue,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,weight loss
Diabetes ,fatigue,weight loss,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,restlessness
Diabetes ,fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,lethargy
Diabetes ,fatigue,weight loss,restlessness,lethargy,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria,irregular sugar level
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,obesity,excessive hunger,increased appetite,polyuria,blurred and distorted vision
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,excessive hunger,increased appetite,polyuria,obesity
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,increased appetite,polyuria,excessive hunger
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,
Gastroenteritis,sunken eyes,dehydration,diarrhoea,vomiting,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,sunken eyes,,,,,,
Gastroenteritis,vomiting,sunken eyes,diarrhoea,dehydration,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,
Gastroenteritis,sunken eyes,dehydration,diarrhoea,vomiting,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,sunken eyes,,,,,,
Gastroenteritis,vomiting,sunken eyes,diarrhoea,dehydration,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,,,,
Bronchial Asthma,cough,high fever,breathlessness,family history,mucoid sputum,fatigue,,,,
Bronchial Asthma,fatigue,high fever,breathlessness,family history,mucoid sputum,cough,,,,
Bronchial Asthma,fatigue,cough,breathlessness,family history,mucoid sputum,high fever,,,,
Bronchial Asthma,fatigue,cough,high fever,family history,mucoid sputum,breathlessness,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,mucoid sputum,family history,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucoid sputum,,,,
Bronchial Asthma,cough,high fever,breathlessness,family history,mucoid sputum,fatigue,,,,
Bronchial Asthma,fatigue,high fever,breathlessness,family history,mucoid sputum,cough,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,
Hypertension ,chest pain,dizziness,loss of balance,lack of concentration,headache,,,,,
Hypertension ,headache,dizziness,loss of balance,lack of concentration,chest pain,,,,,
Hypertension ,headache,chest pain,loss of balance,lack of concentration,dizziness,,,,,
Hypertension ,headache,chest pain,dizziness,lack of concentration,loss of balance,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,
Hypertension ,chest pain,dizziness,loss of balance,lack of concentration,headache,,,,,
Hypertension ,headache,dizziness,loss of balance,lack of concentration,chest pain,,,,,
Hypertension ,headache,chest pain,loss of balance,lack of concentration,dizziness,,,,,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,
Migraine,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,acidity,
Migraine,acidity,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,indigestion,
Migraine,acidity,indigestion,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,headache,
Migraine,acidity,indigestion,headache,excessive hunger,stiff neck,depression,irritability,visual disturbances,blurred and distorted vision,
Migraine,acidity,indigestion,headache,blurred and distorted vision,stiff neck,depression,irritability,visual disturbances,excessive hunger,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,depression,irritability,visual disturbances,stiff neck,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,irritability,visual disturbances,depression,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,visual disturbances,irritability,
Migraine,acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,
Cervical spondylosis,weakness in limbs,neck pain,dizziness,loss of balance,back pain,,,,,
Cervical spondylosis,back pain,neck pain,dizziness,loss of balance,weakness in limbs,,,,,
Cervical spondylosis,back pain,weakness in limbs,dizziness,loss of balance,neck pain,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,loss of balance,dizziness,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,
Cervical spondylosis,weakness in limbs,neck pain,dizziness,loss of balance,back pain,,,,,
Cervical spondylosis,back pain,neck pain,dizziness,loss of balance,weakness in limbs,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,,,,,,
Paralysis (brain hemorrhage),headache,weakness of one body side,altered sensorium,vomiting,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness of one body side,altered sensorium,headache,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,altered sensorium,weakness of one body side,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,altered sensorium,,,,,,
Paralysis (brain hemorrhage),headache,weakness of one body side,altered sensorium,vomiting,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness of one body side,altered sensorium,headache,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,altered sensorium,weakness of one body side,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,
Jaundice,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,itching,,
Jaundice,itching,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,vomiting,,
Jaundice,itching,vomiting,weight loss,high fever,yellowish skin,dark urine,abdominal pain,fatigue,,
Jaundice,itching,vomiting,fatigue,high fever,yellowish skin,dark urine,abdominal pain,weight loss,,
Jaundice,itching,vomiting,fatigue,weight loss,yellowish skin,dark urine,abdominal pain,high fever,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,dark urine,abdominal pain,yellowish skin,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,abdominal pain,dark urine,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,muscle pain,diarrhoea,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,
Malaria,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,chills,,
Malaria,chills,high fever,sweating,headache,nausea,diarrhoea,muscle pain,vomiting,,
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle pain,high fever,,
Malaria,chills,vomiting,high fever,headache,nausea,diarrhoea,muscle pain,sweating,,
Malaria,chills,vomiting,high fever,sweating,nausea,diarrhoea,muscle pain,headache,,
Malaria,chills,vomiting,high fever,sweating,headache,diarrhoea,muscle pain,nausea,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,muscle pain,diarrhoea,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise
Chicken pox,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,lethargy,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,mild fever,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,swelled lymph nodes,malaise,red spots over body
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,malaise,red spots over body
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes
Dengue,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain
Dengue,skin rash,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain
Dengue,skin rash,chills,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain
Dengue,skin rash,chills,joint pain,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain
Dengue,skin rash,chills,joint pain,vomiting,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain
Dengue,skin rash,chills,joint pain,vomiting,fatigue,headache,nausea,loss of appetite,pain behind the eyes,back pain
Typhoid,chills,vomiting,fatigue,high fever,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,toxic look (typhos),belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,diarrhoea,toxic look (typhos),belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,toxic look (typhos),belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,belly pain
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos)
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos)
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos)
Typhoid,chills,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes
